luminosity,N,P,K,ph,EC,humidity,temperature,score,soil_quality
767.3,7.0,38.5,67.0,7.92,2.71,87.97,8.48,37.7,Poor
506.3,8.3,30.6,151.6,3.66,0.8,65.44,26.8,44.72,Moderate
264.5,165.0,113.3,1.9,8.33,2.79,36.64,11.22,42.79,Moderate
1148.7,94.2,13.0,29.0,8.58,2.41,80.06,34.19,40.74,Moderate
643.5,272.5,53.0,165.6,8.48,2.47,85.14,28.09,54.77,Moderate
845.5,12.8,31.9,86.8,3.98,0.93,14.39,16.12,33.55,Poor
762.8,102.2,51.8,62.9,5.1,3.75,65.27,29.37,49.1,Moderate
205.4,204.2,22.9,113.8,9.44,2.56,56.8,32.38,43.32,Moderate
1011.4,217.3,32.1,9.6,5.39,1.07,24.62,42.72,50.9,Moderate
1051.6,88.1,91.8,118.7,8.99,1.84,29.63,14.87,45.16,Moderate
673.6,73.6,81.8,269.3,5.9,0.88,97.77,25.38,66.18,Healthy
109.1,13.2,15.4,188.2,8.25,1.69,10.91,20.26,37.73,Poor
1195.3,148.2,136.0,258.2,3.57,2.88,68.4,26.48,60.71,Moderate
320.2,179.5,15.6,130.4,6.22,3.82,86.45,15.54,52.42,Moderate
600.7,50.0,127.8,261.2,5.29,2.56,61.63,11.11,61.32,Moderate
915.0,151.0,109.0,159.1,3.5,1.3,6.81,42.16,41.78,Moderate
1054.5,232.9,43.1,17.4,8.77,3.79,12.97,24.44,39.2,Poor
83.1,213.0,107.2,38.5,6.35,2.2,29.65,39.9,58.39,Moderate
507.8,59.3,75.5,219.0,4.71,1.25,97.55,31.0,50.3,Moderate
525.7,144.9,16.9,67.4,5.53,2.35,26.4,13.81,47.08,Moderate
85.2,176.7,32.1,271.6,8.66,0.28,27.13,31.76,45.19,Moderate
257.1,37.0,131.0,171.3,6.34,3.14,80.1,12.62,58.91,Moderate
116.3,120.7,59.3,140.1,7.87,2.69,96.53,8.94,40.84,Moderate
483.1,95.0,120.6,74.6,4.64,1.79,44.23,16.14,52.11,Moderate
299.8,258.5,62.0,258.4,6.8,0.2,97.93,38.44,63.44,Moderate
1162.8,259.4,118.8,49.9,6.41,0.85,42.3,7.35,74.59,Healthy
454.8,275.9,37.1,235.2,6.23,1.69,94.03,44.82,62.85,Moderate
666.9,201.2,21.7,89.0,9.31,2.32,55.42,34.92,44.76,Moderate
68.6,163.6,70.4,255.8,4.44,3.84,12.45,12.43,35.93,Poor
714.0,189.1,32.9,36.0,8.84,0.98,60.29,29.78,52.1,Moderate
503.1,163.4,73.2,280.4,4.73,2.86,27.2,20.83,53.32,Moderate
806.0,84.0,44.3,225.6,3.94,1.83,97.86,44.84,36.05,Poor
87.9,59.7,37.1,280.0,8.79,3.52,39.37,11.31,34.65,Poor
1000.5,197.0,85.6,296.2,7.42,0.03,80.99,16.98,69.92,Healthy
796.1,262.9,18.8,34.6,4.14,2.21,30.33,29.19,44.65,Moderate
861.1,57.0,88.8,79.2,6.43,3.62,83.69,8.69,53.84,Moderate
508.3,77.5,0.5,231.3,7.32,1.05,73.93,27.07,61.82,Moderate
513.2,2.7,10.5,264.9,8.92,2.18,82.62,28.3,40.41,Moderate
177.7,35.7,43.2,269.7,8.28,3.44,88.6,13.4,38.21,Poor
299.4,28.8,109.2,265.2,5.94,2.48,19.37,42.2,51.34,Moderate
1037.5,273.3,113.5,264.4,3.65,2.95,35.89,42.23,52.01,Moderate
962.7,241.9,113.5,80.0,8.22,0.43,86.11,39.34,55.71,Moderate
266.9,228.6,64.4,91.6,8.27,0.91,7.2,12.73,44.41,Moderate
393.9,242.0,135.4,83.7,7.35,1.6,96.25,26.45,66.5,Healthy
1127.1,32.3,135.9,53.6,9.28,1.06,15.08,22.38,46.27,Moderate
874.3,87.8,84.9,153.4,5.81,2.31,28.69,33.35,58.25,Moderate
2.0,259.2,75.4,215.8,7.95,2.68,38.87,7.8,52.17,Moderate
797.1,92.5,43.9,254.4,7.82,1.2,33.76,21.34,61.7,Moderate
482.9,82.8,17.8,126.1,9.14,2.71,88.96,29.62,34.55,Poor
361.1,153.4,0.1,86.1,6.08,2.32,65.89,23.6,62.08,Moderate
530.6,59.8,66.2,270.4,8.28,0.68,12.89,25.62,50.01,Moderate
759.5,93.9,114.6,225.3,7.54,0.9,23.52,5.98,57.03,Moderate
293.8,133.0,119.0,21.8,5.99,2.52,23.08,32.85,54.01,Moderate
593.3,68.3,91.8,1.7,8.01,3.08,14.91,22.01,40.91,Moderate
211.1,268.2,72.5,15.1,5.0,3.39,47.45,37.06,47.34,Moderate
801.1,276.6,83.4,285.0,8.85,2.45,71.89,25.19,63.55,Moderate
996.7,153.4,125.6,223.1,6.35,1.04,27.99,30.51,76.86,Healthy
919.0,146.0,87.7,82.4,3.96,1.14,30.27,17.79,49.04,Moderate
648.2,38.7,32.4,208.2,7.74,0.26,42.91,26.7,55.16,Moderate
498.9,57.9,58.8,271.5,7.0,2.78,84.68,35.62,56.84,Moderate
456.5,1.7,49.2,226.0,8.62,3.81,43.97,34.9,36.43,Poor
655.4,168.9,30.9,65.8,6.12,0.12,36.26,32.17,58.73,Moderate
485.2,46.2,65.4,38.3,7.23,0.11,41.64,27.58,54.25,Moderate
32.5,180.0,19.0,138.5,3.8,1.52,24.68,18.07,39.3,Poor
913.5,106.2,105.3,249.6,5.01,0.33,6.8,26.58,55.88,Moderate
1199.9,98.0,91.0,234.4,7.41,3.02,93.31,12.97,57.94,Moderate
24.5,42.7,17.7,200.8,6.88,0.87,70.05,35.68,57.27,Moderate
201.3,170.0,104.7,34.4,8.42,3.86,15.05,6.03,30.94,Poor
374.3,189.7,134.1,119.0,7.79,0.3,69.23,30.09,64.08,Moderate
122.3,216.3,119.0,180.1,4.23,3.94,77.79,18.89,47.89,Moderate
514.1,103.8,70.8,102.4,8.6,3.29,14.82,43.43,29.34,Poor
762.7,232.0,99.0,130.6,7.9,3.86,30.12,37.33,50.56,Moderate
645.8,135.4,61.0,219.3,5.11,3.41,82.26,8.47,47.91,Moderate
1058.0,68.3,65.1,183.1,5.77,0.11,84.14,12.27,58.53,Moderate
254.5,223.4,47.6,264.1,7.71,1.11,5.94,42.92,50.41,Moderate
102.7,201.6,68.4,227.4,7.64,2.58,50.65,36.72,57.89,Moderate
111.7,62.0,96.9,91.9,6.99,1.89,54.38,22.02,64.02,Moderate
895.1,92.6,98.4,81.3,5.01,0.48,22.91,9.78,47.96,Moderate
643.0,213.4,25.9,64.9,6.41,2.9,95.82,25.99,60.3,Moderate
339.6,28.1,27.2,68.2,4.58,0.06,54.67,15.97,41.09,Moderate
1169.2,154.9,97.6,37.9,8.71,1.96,86.16,27.96,52.0,Moderate
563.3,123.3,25.8,15.4,9.15,1.91,81.46,21.03,39.98,Poor
88.9,176.2,7.5,44.8,6.88,1.22,97.43,9.74,50.92,Moderate
917.3,169.8,110.7,67.7,6.64,1.8,46.17,39.41,69.21,Healthy
1188.0,85.5,86.9,182.9,7.94,3.79,24.32,13.44,47.58,Moderate
792.5,44.0,24.3,22.5,3.52,1.8,60.22,16.65,41.67,Moderate
277.8,197.9,98.4,136.2,7.62,3.7,78.27,30.0,54.78,Moderate
