luminosity,N,P,K,ph,EC,humidity,temperature,score,soil_quality
178.0,19.8,24.4,41.2,6.83,2.93,26.83,39.38,39.98,Poor
946.0,77.1,62.1,123.4,5.84,1.87,57.83,23.2,68.77,Healthy
337.1,56.7,55.3,76.5,6.78,1.16,56.41,26.57,66.46,Healthy
953.5,109.1,62.4,131.5,5.92,1.65,61.18,24.85,72.28,Healthy
501.2,27.7,9.8,97.2,7.56,3.46,33.53,13.0,38.47,Poor
427.9,35.9,12.1,39.7,3.96,0.53,13.51,20.21,28.92,Poor
864.3,116.7,53.1,182.9,5.81,2.05,69.95,22.39,68.02,Healthy
458.7,22.6,17.3,24.8,4.86,0.4,26.96,25.92,39.61,Poor
766.4,44.1,62.2,166.6,6.77,0.64,56.03,22.92,70.91,Healthy
387.3,36.4,17.9,41.9,3.96,0.45,33.06,31.19,31.9,Poor
157.8,35.3,18.1,20.5,5.58,3.21,31.74,38.05,34.88,Poor
331.2,69.8,7.6,73.9,7.51,3.83,29.46,14.25,37.31,Poor
433.3,61.5,66.4,172.7,6.1,0.68,49.09,21.65,66.68,Healthy
982.2,130.3,41.4,141.7,6.71,1.52,68.45,22.92,74.14,Healthy
219.6,78.9,44.0,132.7,5.62,1.13,44.03,14.51,56.0,Moderate
731.5,60.3,36.0,62.3,5.75,0.58,40.19,13.85,53.4,Moderate
696.9,38.8,59.3,147.5,6.66,0.73,65.82,21.71,69.68,Healthy
481.4,31.2,21.3,39.3,4.59,0.41,27.51,36.76,33.49,Poor
686.6,126.1,62.1,159.7,6.82,1.16,61.8,20.42,74.61,Healthy
592.6,106.9,59.8,210.3,6.34,0.96,71.56,24.13,74.61,Healthy
993.2,159.8,72.5,218.0,6.59,1.12,71.44,16.04,78.24,Healthy
573.0,130.9,65.2,203.9,6.01,1.6,61.86,24.01,74.52,Healthy
381.2,36.1,79.5,126.2,6.83,1.35,53.53,23.34,68.6,Healthy
572.7,147.3,66.0,202.9,7.0,1.02,63.43,14.79,71.24,Healthy
332.7,32.4,74.7,124.5,6.22,0.62,64.76,25.15,66.61,Healthy
647.0,117.5,30.2,154.0,4.81,0.85,50.81,30.75,54.92,Moderate
396.6,37.3,27.3,61.5,7.85,2.94,37.62,38.72,36.97,Poor
737.7,72.6,38.7,121.5,7.82,1.75,48.21,24.66,57.88,Moderate
424.1,5.5,8.5,27.1,5.03,0.27,41.05,34.77,38.2,Poor
254.8,28.4,4.8,52.7,5.01,0.53,19.6,35.72,33.9,Poor
465.2,40.1,24.7,72.1,7.81,2.7,31.42,12.19,38.93,Poor
607.2,73.0,65.5,118.8,5.29,1.08,37.51,32.12,55.39,Moderate
806.4,97.0,54.0,181.3,6.23,1.71,58.18,24.16,74.5,Healthy
416.1,161.8,82.9,253.0,6.24,1.03,43.37,23.83,77.02,Healthy
290.5,20.6,11.2,26.4,4.19,0.46,36.5,20.55,33.92,Poor
553.7,121.7,19.3,137.2,5.03,1.15,56.04,22.24,59.93,Moderate
355.8,14.8,12.5,14.6,4.55,0.23,33.99,11.66,31.18,Poor
437.8,114.6,64.6,148.5,7.23,0.58,45.53,25.37,64.36,Moderate
404.0,33.7,17.6,62.9,4.36,0.22,25.62,15.5,32.41,Poor
707.7,58.3,45.9,91.2,6.43,0.82,56.6,19.44,68.39,Healthy
385.1,20.1,27.5,87.5,7.24,3.65,35.81,10.72,39.82,Poor
347.0,113.2,42.2,64.9,5.88,0.95,57.32,13.06,59.99,Moderate
672.6,147.3,79.5,158.7,6.53,1.26,59.44,18.84,78.65,Healthy
296.0,38.5,10.8,26.7,3.82,0.36,34.42,24.09,33.74,Poor
464.4,89.5,43.2,103.2,6.84,1.02,29.41,35.63,56.82,Moderate
259.2,10.8,18.8,34.5,5.0,0.1,13.28,26.7,34.57,Poor
560.6,32.1,49.4,107.6,6.57,0.58,65.99,24.97,67.23,Healthy
666.4,122.8,57.0,148.0,6.61,1.21,19.29,30.55,64.79,Moderate
326.8,102.5,33.2,97.9,5.03,0.89,45.55,15.9,50.67,Moderate
467.7,49.1,34.3,126.3,7.57,1.97,56.79,19.14,56.28,Moderate
532.5,53.1,37.4,103.1,7.84,2.1,47.78,16.93,50.22,Moderate
787.7,97.6,30.5,121.5,8.14,1.38,60.85,15.39,56.17,Moderate
407.5,20.8,64.2,163.2,6.5,0.75,69.98,28.12,67.46,Healthy
370.1,31.1,14.9,15.3,4.13,0.57,32.7,35.52,29.92,Poor
759.1,106.9,46.8,172.4,5.87,1.55,51.95,22.84,69.3,Healthy
